chr1	47761740	51761740	r1
chr1	125169943	125170022	r2
chr1	144106678	144106709	r3
chr1	181955019	181955047	r4
chr2	85919365	100517106	r5
chr2	87416141	87416186	r6
chr2	87417804	87417863	r7
chr2	87418924	87418981	r8
chr2	89917298	89917322	r9
chr2	135275091	135275210	r10
chr2	182427027	189427029	r11
chr2	207609786	207609808	r12
chr3	47483505	49987563	r13
chr3	83368158	86868160	r14
chr5	44464140	51168409	r15
chr5	129636407	132636409	r16
chr6	25391792	33424245	r17
chr6	26726947	26726981	r18
chr6	57788603	58453888	r19
chr6	61109122	61357029	r20
chr6	61424410	61424451	r21
chr6	139637169	142137170	r22
chr7	54964812	66897578	r23
chr7	62182500	62277073	r24
chr8	8105067	12105082	r25
chr8	43025699	48924888	r26
chr8	47303500	47317337	r27
chr8	110918594	113918595	r28
chr9	40365644	40365693	r29
chr9	64198500	64200392	r30
chr9	88958735	88959017	r31
chr10	36671065	43184546	r32
chr10	41693521	41885273	r33
chr11	88127183	91127184	r34
chr12	32955798	41319931	r35
chr12	34639034	34639084	r36
chr14	87391719	87391996	r37
chr14	94658026	94658080	r38
chr17	43159541	43159574	r39
chr20	4031884	4032441	r40
chr20	33948532	36438183	r41
chr22	30060084	30060162	r42
chr22	42980497	42980522	r43
