1 	48000000 	52000000	r1
2 	86000000 	100500000	r2
2 	134500000 	138000000	r3
2 	183000000 	190000000	r4
3 	47500000 	50000000	r5
3 	83500000 	87000000	r6
3 	89000000 	97500000	r7
5 	44500000 	50500000	r8
5 	98000000 	100500000	r9
5 	129000000 	132000000	r10
5 	135500000 	138500000	r11
6 	25000000 	35000000	r12
6 	57000000 	64000000	r13
6 	140000000 	142500000	r14
7 	55000000 	66000000	r15
8 	7000000 	13000000	r16
8 	43000000 	50000000	r17
8 	112000000 	115000000	r18
10 	37000000 	43000000	r19
11 	46000000 	57000000	r20
11 	87500000 	90500000	r21
12 	33000000 	40000000	r22
12 	109500000 	112000000	r23
20 	32000000 	34500000 	r24
